feature,flow_id,flow_name,user_role,journey_type,priority,prd_file,prd_refs,current_e2e_status,current_test_ids,current_spec_files,smoke,notes,last_reviewed
Membership Plans,PLAN-FLOW-06,Admin deactivates and reactivates plans with conflict handling,Admin,happy_path,P0,docs/prd/membership-plans.md,"Happy path 5-6; AC 14-17 and 19",Covered,PLAN-13|PLAN-14|PLAN-15,frontend/e2e/membership-plans.spec.ts,yes,Includes public catalog sync after status change,2026-04-03
Membership Plans,PLAN-FLOW-07,Admin filters paginates and respects active-subscriber pricing guard,Admin,admin_ops,P1,docs/prd/membership-plans.md,"Happy path 7; AC 18 and 18a and 21",Covered,PLAN-16|PLAN-17|PLAN-18,frontend/e2e/membership-plans.spec.ts,no,Operational admin coverage rather than deploy smoke,2026-04-03
User Membership Purchase,MEM-FLOW-01,Eligible user purchases membership from the plans page,User,happy_path,P0,docs/prd/user-membership-purchase.md,"Happy path 1; AC 1-2 and 17",Covered,MEM-01,frontend/e2e/user-membership-purchase.spec.ts,yes,Core member conversion flow,2026-04-03
User Membership Purchase,MEM-FLOW-02,Purchase modal dismiss paths do not create memberships,User,edge_case,P1,docs/prd/user-membership-purchase.md,"Happy path 1; modal UX around AC 1",Covered,MEM-02|MEM-03,frontend/e2e/user-membership-purchase.spec.ts,no,Protects accidental purchases,2026-04-03
User Membership Purchase,MEM-FLOW-03,Activate CTA visibility matches auth and membership state,Guest|User,ux_gate,P0,docs/prd/user-membership-purchase.md,"Happy path 1 and edge case 4",Partial,MEM-04,frontend/e2e/user-membership-purchase.spec.ts,no,Current test proves the eligible-user state but not the full guest and active-member matrix,2026-04-03
User Membership Purchase,MEM-FLOW-04,Membership page handles active state empty state CTA and retry,User,happy_path,P0,docs/prd/user-membership-purchase.md,"Happy path 2; AC 8-11",Covered,MEM-05|MEM-06|MEM-07|MEM-08,frontend/e2e/user-membership-purchase.spec.ts,yes,Covers the main post-purchase read path and recovery flow,2026-04-03
User Membership Purchase,MEM-FLOW-05,User cancels membership and can purchase again later,User,happy_path,P0,docs/prd/user-membership-purchase.md,"Happy path 3-4; AC 10-11 and 19",Covered,MEM-09|MEM-10|MEM-11,frontend/e2e/user-membership-purchase.spec.ts,yes,Covers confirm dismiss and repurchase lifecycle,2026-04-03
User Membership Purchase,MEM-FLOW-06,Purchase conflicts are surfaced when plan becomes unavailable or user already has membership,User,edge_case,P0,docs/prd/user-membership-purchase.md,"Edge case 1-2 and 5; AC 4-6 and 18",Covered,MEM-12|MEM-13,frontend/e2e/user-membership-purchase.spec.ts,no,Important business invariant coverage,2026-04-03
User Membership Purchase,MEM-FLOW-07,Route guards and admin memberships page access rules work,Guest|User|Admin,access_control,P0,docs/prd/user-membership-purchase.md,"Roles and AC 3 and 12-13",Covered,MEM-14|MEM-15|MEM-16|MEM-17,frontend/e2e/user-membership-purchase.spec.ts,yes,Frontdoor protection for membership pages,2026-04-03
User Membership Purchase,MEM-FLOW-08,Admin filters and paginates the memberships table,Admin,admin_ops,P1,docs/prd/user-membership-purchase.md,"Happy path 5-6; AC 12 and 21",Covered,MEM-18|MEM-19|MEM-20|MEM-21,frontend/e2e/user-membership-purchase.spec.ts,no,Operational reporting flow,2026-04-03
User Membership Purchase,MEM-FLOW-09,Admin cancels memberships and sees non-active conflict handling,Admin,admin_ops,P0,docs/prd/user-membership-purchase.md,"Happy path 7; AC 14-16",Covered,MEM-22|MEM-23,frontend/e2e/user-membership-purchase.spec.ts,no,High-value support/admin action,2026-04-03
User Profile Management,PROFILE-FLOW-01,First-time user opens profile with read-only identity fields,User,happy_path,P0,docs/prd/user-profile-management.md,"Happy path 1; AC 1-3 and 8",Covered,PROFILE-01,frontend/e2e/user-profile-management.spec.ts,yes,Foundational self-service profile entry flow,2026-04-03
User Profile Management,PROFILE-FLOW-02,User saves profile data and sees normalized persisted values,User,happy_path,P0,docs/prd/user-profile-management.md,"Happy path 2-5; AC 6-7 and 19-21",Covered,PROFILE-02,frontend/e2e/user-profile-management.spec.ts,yes,Core edit and persistence journey,2026-04-03
User Profile Management,PROFILE-FLOW-03,Profile validation and read-only field enforcement,User,edge_case,P1,docs/prd/user-profile-management.md,"Edge case 2-5; AC 8-16",Partial,PROFILE-03,frontend/e2e/user-profile-management.spec.ts,no,Current suite checks client-side phone validation only and does not cover read-only or future-date server responses,2026-04-03
User Profile Management,PROFILE-FLOW-04,Admin users are denied access to profile management,Admin,access_control,P1,docs/prd/user-profile-management.md,"Roles and AC 5",Covered,PROFILE-04,frontend/e2e/user-profile-management.spec.ts,no,Confirms non-USER role denial,2026-04-03
User Profile Management,PROFILE-FLOW-05,Guests cannot access private profile data,Guest,access_control,P0,docs/prd/user-profile-management.md,"Edge case 1; AC 4",Missing,,frontend/e2e/user-profile-management.spec.ts,yes,Important privacy rule but no explicit Playwright flow exists yet,2026-04-03
Scheduler,SCH-FLOW-01,Admin manages trainers end to end with CRUD search and duplicate checks,Admin,happy_path,P0,docs/prd/scheduler.md,"Happy path trainer stories; AC 1 and 3-8",Covered,SCH-01|SCH-02|SCH-03|SCH-04|SCH-05|SCH-06|SCH-07,frontend/e2e/class-schedule.spec.ts,yes,Covers core trainer admin workflow,2026-04-03
Scheduler,SCH-FLOW-02,Admin uploads trainer photos and receives format and size validation,Admin,media_flow,P0,docs/prd/scheduler.md,"Happy path trainer photo story; Edge case trainer photo story; AC 2",Covered,SCH-08|SCH-09|SCH-10|SCH-11,frontend/e2e/class-schedule.spec.ts,no,Admin-side upload flow for trainer media,2026-04-03
Scheduler,SCH-FLOW-03,Admin manages rooms with CRUD search and affected-instance confirmation,Admin,happy_path,P0,docs/prd/scheduler.md,"Happy path room stories; AC 9-15",Covered,SCH-12|SCH-13|SCH-14|SCH-15|SCH-16,frontend/e2e/class-schedule.spec.ts,yes,Covers room lifecycle including destructive confirmations,2026-04-03
Scheduler,SCH-FLOW-04,Admin manages class templates including seed data CRUD and search,Admin,happy_path,P0,docs/prd/scheduler.md,"Happy path template stories; AC 16-22",Covered,AC16|AC17|AC18|AC19|AC20|AC21|AC22,frontend/e2e/class-schedule.spec.ts,yes,Template library is the basis for schedule creation,2026-04-03
Scheduler,SCH-FLOW-05,Admin builds and edits the weekly calendar with persistence and week copy,Admin,happy_path,P0,docs/prd/scheduler.md,"Happy path calendar stories; AC 23-35",Covered,AC23|AC24|AC25|AC26|AC27|AC30|AC31|AC32|AC34|SCH-27|SCH-28|SCH-29|SCH-32|SCH-35|SCH-37|SCH-38,frontend/e2e/class-schedule.spec.ts,yes,Highest-value scheduler path,2026-04-03
Scheduler,SCH-FLOW-06,Scheduler surfaces hard conflicts soft conflicts and validation errors,Admin,edge_case,P0,docs/prd/scheduler.md,"Edge case stories; AC 28-29 and 33-35",Covered,AC28|AC29|AC33|AC35|SCH-41|SCH-45,frontend/e2e/class-schedule.spec.ts,no,Covers trainer conflict room warning validation bounds and empty room picker,2026-04-03
Scheduler,SCH-FLOW-07,Admin imports CSV with partial success and row-level error reporting,Admin,data_migration,P1,docs/prd/scheduler.md,"Happy path import story; Edge case import stories; AC 36-43",Covered,AC36|AC37|AC38|AC39|AC43|SCH-50|SCH-51|SCH-52,frontend/e2e/class-schedule.spec.ts,no,Good regression target for migration-heavy behavior,2026-04-03
Scheduler,SCH-FLOW-08,Admin exports the current week as CSV and iCal,Admin,export,P1,docs/prd/scheduler.md,"Happy path export story; AC 44-46",Covered,AC44|AC45|AC46|SCH-56|SCH-58,frontend/e2e/class-schedule.spec.ts,no,Checks both file formats and payload quality,2026-04-03
Scheduler,SCH-FLOW-09,Only admins can use scheduler routes and desktop-only layout is enforced,Guest|User|Admin,access_control,P0,docs/prd/scheduler.md,"Role rules and mobile out-of-scope note",Covered,SCH-61,frontend/e2e/class-schedule.spec.ts,yes,Route access tests in the spec also back this flow,2026-04-03
Group Classes Schedule View,SCHED-FLOW-01,Guest and non-member access is blocked from member schedule,Guest|User,access_control,P0,docs/prd/group-classes-schedule-view.md,"Edge case 1-2; AC 2-4 and 20",Covered,SCHED-01|SCHED-03,frontend/e2e/group-classes-schedule-view.spec.ts,yes,Key membership-gated read flow,2026-04-03
Group Classes Schedule View,SCHED-FLOW-02,Active member browses week day and list schedule views,Member,happy_path,P0,docs/prd/group-classes-schedule-view.md,"Happy path 1-4; AC 5-15 and 21",Covered,SCHED-02,frontend/e2e/group-classes-schedule-view.spec.ts,yes,Covers multi-trainer names view switching and Trainer TBA rendering,2026-04-03
Group Classes Schedule View,SCHED-FLOW-03,Schedule shows a clear empty state when no classes exist for the selected period,Member,edge_case,P1,docs/prd/group-classes-schedule-view.md,"Edge case 3; AC 16",Missing,,frontend/e2e/group-classes-schedule-view.spec.ts,no,No dedicated empty-state test yet,2026-04-03
Group Classes Schedule View,SCHED-FLOW-04,Schedule load errors show a safe retry state,Member,edge_case,P1,docs/prd/group-classes-schedule-view.md,"Edge case 5; AC 17",Covered,SCHED-04,frontend/e2e/group-classes-schedule-view.spec.ts,no,Covers failure messaging and retry affordance,2026-04-03
Group Classes Schedule View,SCHED-FLOW-05,Member schedule reflects admin updates and hides non-scheduled classes,Member,data_freshness,P1,docs/prd/group-classes-schedule-view.md,"Happy path 4; AC 18-19",Missing,,frontend/e2e/group-classes-schedule-view.spec.ts,no,Important trust requirement with no explicit regression test yet,2026-04-03
Group Classes Schedule View,SCHED-FLOW-06,Member schedule stays usable on small screens,Member,responsive,P1,docs/prd/group-classes-schedule-view.md,"Edge case mobile rule; AC 22",Covered,SCHED-05,frontend/e2e/group-classes-schedule-view.spec.ts,no,Checks for no horizontal page overflow at 360 px,2026-04-03
Trainer Discovery,TD-FLOW-01,Authenticated user browses trainers and opens a trainer profile,Guest|Member|Admin,happy_path,P0,docs/prd/trainer-discovery.md,"Happy path 1 and 4; AC 1-4 and 11-13 and 26 and 32",Covered,TD-01,frontend/e2e/trainer-discovery.spec.ts,yes,Single broad test currently covers the top-level browse journey,2026-04-03
Trainer Discovery,TD-FLOW-02,Trainer list filtering sorting pagination and empty or error states,Guest|Member|Admin,discovery,P1,docs/prd/trainer-discovery.md,"Happy path 2-3; Edge case 1-2; AC 5-10 and 27-31",Missing,,frontend/e2e/trainer-discovery.spec.ts,no,Current suite does not intentionally assert filter sort or empty/error behaviors,2026-04-03
Trainer Discovery,TD-FLOW-03,Trainer profile shows availability preview and handles unknown trainer IDs,Guest|Member|Admin,detail_view,P1,docs/prd/trainer-discovery.md,"Happy path 4-5; Edge case 7; AC 14-16 and 33-34",Partial,TD-01,frontend/e2e/trainer-discovery.spec.ts,no,Current test opens a profile but does not verify the availability grid or 404 state,2026-04-03
Trainer Discovery,TD-FLOW-04,Member saves removes and revisits favorites,Member,happy_path,P0,docs/prd/trainer-discovery.md,"Happy path 6-9; AC 17-24 and 35-38",Partial,TD-01,frontend/e2e/trainer-discovery.spec.ts,no,Save plus favorites-list visit are covered but remove and optimistic rollback paths are not,2026-04-03
Trainer Discovery,TD-FLOW-05,Guests are gated from favorites with a membership upsell message,Guest,access_control,P1,docs/prd/trainer-discovery.md,"Edge case 5; AC 17 and 20 and 35 and 38",Missing,,frontend/e2e/trainer-discovery.spec.ts,no,No guest-side gating or tooltip coverage yet,2026-04-03
Trainer Discovery,TD-FLOW-06,Favorites remain stored but become inaccessible after membership expiry,Member,edge_case,P1,docs/prd/trainer-discovery.md,"Edge case 3-4 and 6; AC 25",Missing,,frontend/e2e/trainer-discovery.spec.ts,no,Membership lifecycle effect on favorites is currently untested,2026-04-03
Entity Image Management,IMG-FLOW-01,Member uploads and removes a profile photo with navbar sync,User,happy_path,P0,docs/prd/entity-image-management.md,"Happy path 1-2; Edge case 3; AC 11-15",Covered,IMG-01,frontend/e2e/entity-image-management.spec.ts,yes,Good cross-surface profile image smoke,2026-04-03
Entity Image Management,IMG-FLOW-02,Trainer photos propagate from admin upload to member-facing trainer surfaces,Admin|Member,happy_path,P0,docs/prd/entity-image-management.md,"Happy path 3 and 6-7; AC 16-20",Covered,IMG-02,frontend/e2e/entity-image-management.spec.ts,yes,Confirms cross-feature trainer image rendering,2026-04-03
Entity Image Management,IMG-FLOW-03,Room photos render in admin room-management surfaces,Admin,happy_path,P1,docs/prd/entity-image-management.md,"Happy path 4 and 7; AC 21-24",Covered,IMG-03,frontend/e2e/entity-image-management.spec.ts,no,Currently verified in the rooms list only,2026-04-03
Entity Image Management,IMG-FLOW-04,Class template images propagate to member schedule cards and details,Admin|Member,happy_path,P0,docs/prd/entity-image-management.md,"Happy path 5-6; AC 25-31",Covered,IMG-04,frontend/e2e/entity-image-management.spec.ts,yes,High-value cross-surface media regression,2026-04-03
Entity Image Management,IMG-FLOW-05,Cross-entity validation replacement access control and fallback behavior,User|Admin|Guest,edge_case,P1,docs/prd/entity-image-management.md,"Edge case 1-5; shared rules AC 1-10 and 32-34",Partial,IMG-01|SCH-10|SCH-11,frontend/e2e/entity-image-management.spec.ts|frontend/e2e/class-schedule.spec.ts,no,Trainer upload validation exists but room class and profile access-control or fallback failures are not comprehensively covered,2026-04-03
